sequence,detector,reid,conf,cosine_distance,nn_budget,fps,MOTA,IDF1,HOTA
KITTI-17,yolov5n,osnet_x0_25,0.5,0.5,50,4.417402314375851,68.22840409956076,76.64,54.85748226108992
MOT16-09,yolov5n,osnet_x0_25,0.5,0.5,50,2.9430079217328604,46.56648278485828,44.95024591101453,36.6816307817524
MOT16-11,yolov5n,osnet_x0_25,0.5,0.5,50,3.108373942455942,52.99760191846523,47.14382174206617,43.51743190574023
KITTI-17,yolov5n,osnet_x1_0,0.5,0.5,50,18.810424103755818,65.59297218155197,74.13931144915932,53.67579624291906
KITTI-17,yolov5m,osnet_x1_0,0.5,0.5,50,14.688334646693544,66.91068814055637,79.5269770879527,57.51049038716619
KITTI-17,yolov5l6,osnet_x1_0,0.5,0.5,50,8.953993797188431,33.08931185944363,68.78109452736318,51.32930661642465
MOT16-09,yolov5n,osnet_x1_0,0.5,0.5,50,16.364080628045027,46.77572760129352,45.11037401349651,37.53153434552175
MOT16-09,yolov5m,osnet_x1_0,0.5,0.5,50,10.322844523633202,57.104812630778014,50.27276542173731,40.74809273395996
MOT16-09,yolov5l6,osnet_x1_0,0.5,0.5,50,6.530529292079505,45.158835837930376,49.26331696259917,41.51749096279874
MOT16-11,yolov5n,osnet_x1_0,0.5,0.5,50,15.280974307065572,52.99760191846523,47.14382174206617,43.516369593051394
MOT16-11,yolov5m,osnet_x1_0,0.5,0.5,50,9.901543466506007,52.779594506213215,51.618952369046134,46.83546471130956
MOT16-11,yolov5l6,osnet_x1_0,0.5,0.5,50,6.578243126602742,52.31087856987138,56.84800763540922,50.49380442003728
PETS09-S2L1,yolov5n,osnet_x1_0,0.5,0.5,50,21.644916916015912,78.50759606791779,66.39225720324842,51.183425934862385
PETS09-S2L1,yolov5m,osnet_x1_0,0.5,0.5,50,16.160874714906203,82.23860589812332,72.3404255319149,56.221267723769856
PETS09-S2L1,yolov5l6,osnet_x1_0,0.5,0.5,50,6.375210264709123,82.50670241286863,75.8605851979346,57.75442090234307
TUD-Campus,yolov5n,osnet_x1_0,0.5,0.5,50,22.575051332849885,53.48189415041783,52.9839883551674,40.94044115627032
TUD-Campus,yolov5m,osnet_x1_0,0.5,0.5,50,13.695947300818974,54.317548746518106,60.40816326530612,45.63724046447765
TUD-Campus,yolov5l6,osnet_x1_0,0.5,0.5,50,5.778601308591239,60.16713091922006,65.20547945205479,48.70630872087373
TUD-Stadtmitte,yolov5n,osnet_x1_0,0.5,0.5,50,21.88706765609599,77.85467128027682,71.36105860113422,56.16839346357108
TUD-Stadtmitte,yolov5m,osnet_x1_0,0.5,0.5,50,15.65782235929037,78.54671280276817,71.04283054003724,55.709568625516006
TUD-Stadtmitte,yolov5l6,osnet_x1_0,0.5,0.5,50,6.242622215841965,79.23875432525952,70.58823529411765,55.662489017594794
KITTI-17,yolov5n,resnet50,0.5,0.5,50,24.41580253911884,66.61786237188872,79.32421560740146,55.567410156826426
KITTI-17,yolov5m,resnet50,0.5,0.5,50,22.21396385010918,66.3250366032211,80.76639646278556,58.46655627794141
KITTI-17,yolov5l6,resnet50,0.5,0.5,50,10.004880753995472,33.08931185944363,71.47296457426974,52.920390098027994
MOT16-09,yolov5n,resnet50,0.5,0.5,50,12.629420309382054,46.52843827277915,45.71755288736421,38.37065048169524
MOT16-09,yolov5m,resnet50,0.5,0.5,50,9.791605832541574,57.085790374738444,50.26749187034512,40.743950659503305
MOT16-09,yolov5l6,resnet50,0.5,0.5,50,5.877092343178655,45.158835837930376,49.844177920483524,41.72788535563347
MOT16-11,yolov5n,resnet50,0.5,0.5,50,11.713935847535764,52.97580117724002,47.137456116662165,43.51144427769699
MOT16-11,yolov5m,resnet50,0.5,0.5,50,9.438449625306381,52.80139524743841,53.41583848990562,47.28803817526441
MOT16-11,yolov5l6,resnet50,0.5,0.5,50,6.369241153745258,52.37628079354698,56.851398914275485,50.362005333654594
PETS09-S2L1,yolov5n,resnet50,0.5,0.5,50,19.931229531202085,78.30652368185879,67.18593523979081,51.50005341403626
PETS09-S2L1,yolov5m,resnet50,0.5,0.5,50,19.248293743614116,82.37265415549598,74.99454505782238,57.65269372090592
PETS09-S2L1,yolov5l6,resnet50,0.5,0.5,50,6.403948951406822,82.46201966041107,74.18244406196214,56.471537587943075
TUD-Campus,yolov5n,resnet50,0.5,0.5,50,18.650936349760972,54.874651810584965,59.270072992700726,43.927708360865445
TUD-Campus,yolov5m,resnet50,0.5,0.5,50,21.38483924545298,54.317548746518106,60.40816326530612,45.53081740850056
TUD-Campus,yolov5l6,resnet50,0.5,0.5,50,5.900519608095863,58.495821727019504,58.082191780821915,45.620311635027406
TUD-Stadtmitte,yolov5n,resnet50,0.5,0.5,50,20.36751618714492,77.85467128027682,71.36105860113422,56.16839346357108
TUD-Stadtmitte,yolov5m,resnet50,0.5,0.5,50,18.678993863636205,78.54671280276817,71.04283054003724,55.709568625516006
TUD-Stadtmitte,yolov5l6,resnet50,0.5,0.5,50,6.12649755482069,79.23875432525952,70.58823529411765,55.662489017594794
KITTI-17,yolov5m,osnet_x0_25,0.5,0.5,50,14.162879025693982,66.61786237188872,79.40959409594096,57.291826769207574
KITTI-17,yolov5l6,osnet_x0_25,0.5,0.5,50,9.60460550512642,33.38213762811127,67.70379589296826,49.25456854317417
MOT16-09,yolov5m,osnet_x0_25,0.5,0.5,50,10.521192621197745,57.085790374738444,50.26749187034512,40.743950659503305
MOT16-09,yolov5l6,osnet_x0_25,0.5,0.5,50,6.50911929401584,45.25394711812821,51.28011336797355,42.418815479298964
MOT16-11,yolov5m,osnet_x0_25,0.5,0.5,50,9.804267821994214,52.746893394375405,50.6031626976686,46.593284111587444
MOT16-11,yolov5l6,osnet_x0_25,0.5,0.5,50,6.324443252471756,52.34357968170917,53.54969574036511,48.402331715731925
PETS09-S2L1,yolov5n,osnet_x0_25,0.5,0.5,50,17.14578930597986,78.15013404825737,67.1562082777036,51.78835382278828
PETS09-S2L1,yolov5m,osnet_x0_25,0.5,0.5,50,13.938088229311802,82.41733690795353,74.95361781076066,57.55914653176636
